actualelapsedtime,airtime,arrdelay,arrtime,crsarrtime,crsdeptime,crselapsedtime,cancelled,dayofweek,dayofmonth,depdelay,deptime,dest,distance,diverted,flightnum,month,origin,tailnum,taxiin,taxiout,uniquecarrier,year
148.0,105.0,6.0,1320.0,1314,1155,139.0,0,5,31,-3.0,1152.0,STL,737.0,0,603,3,BWI,N922TW,34.0,9.0,TW,2000
64.0,56.0,-1.0,2144.0,2145,2040,65.0,0,7,11,0.0,2040.0,BUR,358.0,0,893,1,SMF,N369,1.0,7.0,WN,2004
85.0,48.0,13.0,623.0,610,500,70.0,0,4,24,-2.0,458.0,MSP,284.0,0,2843,1,GFK,89709E,10.0,27.0,9E,2008
75.0,62.0,0.0,2245.0,2245,2130,75.0,0,3,22,0.0,2130.0,OAK,446.0,0,398,2,SAN,N513,4.0,9.0,WN,1995
166.0,150.0,-4.0,1446.0,1450,1200,170.0,0,1,31,0.0,1200.0,BDL,1133.0,0,1449,7,PBI,N6713Y,3.0,13.0,DL,2006
103.0,82.0,62.0,1536.0,1434,1238,116.0,0,5,28,75.0,1353.0,BUF,712.0,0,550,12,ATL,N937AT,4.0,17.0,FL,2007
160.0,147.0,-20.0,1840.0,1900,1605,175.0,0,6,2,-5.0,1600.0,TPA,998.0,0,1218,3,EWR,N17306,3.0,10.0,CO,2002
252.0,211.0,5.0,1415.0,1410,800,250.0,0,1,25,3.0,803.0,ORD,1846.0,0,46,6,SFO,N589ä1,4.0,37.0,UA,2001
87.0,61.0,-1.0,727.0,728,600,88.0,0,1,5,0.0,600.0,RDU,416.0,0,4625,9,EWR,N704PG,3.0,23.0,MQ,2005
197.0,171.0,-7.0,1252.0,1259,1135,204.0,0,7,29,0.0,1135.0,ELP,1282.0,0,325,12,ATL,N522DA,7.0,19.0,DL,2002
75.0,57.0,8.0,731.0,723,500,83.0,0,1,29,16.0,516.0,ATL,425.0,0,2047,9,MSY,N949DL,5.0,13.0,DL,2003
66.0,43.0,-5.0,2209.0,2214,2108,66.0,0,2,13,-5.0,2103.0,FLO,273.0,0,4255,7,ATL,N923EV,4.0,19.0,EV,2004
51.0,39.0,4.0,1954.0,1950,1900,50.0,0,5,21,3.0,1903.0,ELP,223.0,0,432,6,ABQ,N338,2.0,10.0,WN,1996
117.0,93.0,-12.0,1719.0,1731,1516,135.0,0,1,25,6.0,1522.0,BOS,728.0,0,720,6,CLT,N770äæ,11.0,13.0,US,2001
189.0,175.0,-22.0,433.0,455,2325,210.0,0,2,26,-1.0,2324.0,MKE,1524.0,0,519,8,LAS,N173AT,5.0,9.0,FL,2008
149.0,111.0,12.0,1629.0,1617,1500,137.0,0,1,11,0.0,1500.0,STL,737.0,0,559,9,BWI,N922TW,4.0,34.0,TW,2000
148.0,125.0,266.0,2156.0,1730,1402,148.0,0,4,1,266.0,1828.0,SJU,1045.0,0,1049,12,MIA,N623AA,3.0,20.0,AA,2005
170.0,155.0,-13.0,1149.0,1202,700,182.0,0,7,4,-1.0,659.0,MSP,1300.0,0,778,5,LAS,N534US,3.0,12.0,NW,2003
63.0,51.0,-12.0,938.0,950,835,75.0,0,4,18,0.0,835.0,ONT,325.0,0,600,6,PHX,N342,2.0,10.0,WN,1998
139.0,111.0,-7.0,1146.0,1153,930,143.0,0,2,25,-3.0,927.0,DFW,802.0,0,2315,6,ORD,N558AA,15.0,13.0,AA,2002
97.0,79.0,-3.0,907.0,910,732,98.0,0,4,29,-2.0,730.0,ORD,522.0,0,4168,9,XNA,N510AE,3.0,15.0,MQ,2005
62.0,43.0,1.0,1015.0,1014,913,61.0,0,3,3,0.0,913.0,ATL,152.0,0,4215,10,TYS,N925EV,10.0,9.0,EV,2007
244.0,217.0,1.0,1817.0,1816,1600,256.0,0,2,26,13.0,1613.0,LAX,1745.0,0,123,8,ORD,N569UA,9.0,18.0,UA,2003
122.0,78.0,-9.0,1055.0,1104,900,124.0,0,2,18,-7.0,853.0,DTW,501.0,0,537,9,LGA,N507US,9.0,35.0,NW,2007
101.0,85.0,-17.0,1736.0,1753,1700,113.0,0,5,3,-5.0,1655.0,PIA,564.0,0,4646,12,ATL,N858AS,2.0,14.0,EV,2004
97.0,84.0,-2.0,1015.0,1017,844,93.0,0,7,22,-6.0,838.0,ATL,445.0,0,307,7,SRQ,N149AT,5.0,8.0,FL,2007
158.0,140.0,-4.0,1434.0,1438,1200,158.0,0,4,25,-4.0,1156.0,MCO,1011.0,0,554,12,BUF,N267AT,8.0,10.0,FL,2008
57.0,43.0,31.0,1404.0,1333,1230,63.0,0,7,20,37.0,1307.0,GRR,268.0,0,2017,10,CVG,N322DL,5.0,9.0,DL,1996
148.0,131.0,-9.0,826.0,835,700,155.0,0,4,1,-2.0,658.0,MSP,906.0,0,739,8,ATL,N95S,4.0,13.0,NW,1996
115.0,103.0,5.0,1435.0,1430,1240,110.0,0,2,21,0.0,1240.0,PHX,646.0,0,1405,10,OAK,N520,4.0,8.0,WN,2003
206.0,180.0,9.0,2051.0,2042,1916,206.0,0,6,8,9.0,1925.0,SNA,1205.0,0,1169,9,DFW,N417A1,8.0,18.0,AA,2001
140.0,123.0,11.0,1022.0,1011,700,131.0,0,3,23,2.0,702.0,CVG,812.0,0,1610,7,DFW,N394DA,5.0,12.0,DL,2003
233.0,212.0,-23.0,1649.0,1712,1500,252.0,0,3,21,-4.0,1456.0,SNA,1726.0,0,649,7,ORD,N5CNAA,5.0,16.0,AA,1999
118.0,99.0,4.0,1638.0,1634,1541,113.0,0,2,27,-1.0,1540.0,DEN,627.0,0,6554,3,FAR,N951SW,6.0,13.0,OO,2007
160.0,142.0,-39.0,1154.0,1233,915,198.0,0,6,25,-1.0,914.0,MIA,1097.0,0,813,12,LGA,N629AA,4.0,14.0,AA,1999
51.0,41.0,4.0,1209.0,1205,1110,55.0,0,4,5,8.0,1118.0,TPA,197.0,0,1119,12,FLL,N635,3.0,7.0,WN,2002
83.0,64.0,-9.0,1035.0,1044,919,85.0,0,5,16,-7.0,912.0,MSP,349.0,0,221,3,MDW,N944AT,8.0,11.0,FL,2007
97.0,88.0,7.0,1542.0,1535,1455,100.0,0,1,19,10.0,1505.0,ABQ,580.0,0,30,1,DAL,N620,3.0,6.0,WN,1998
40.0,28.0,-10.0,850.0,900,810,50.0,0,5,7,0.0,810.0,ORF,159.0,0,1272,5,BWI,N633SW,2.0,10.0,WN,2004
63.0,45.0,-11.0,1749.0,1800,1650,70.0,0,3,27,-4.0,1646.0,PHL,267.0,0,1465,12,PIT,N722UW,5.0,13.0,US,2006
71.0,42.0,2.0,1820.0,1818,1716,62.0,0,3,29,-7.0,1709.0,IAH,201.0,0,2842,10,LFT,N13968,5.0,24.0,XE,2008
180.0,158.0,3.0,2006.0,2003,1610,173.0,0,2,25,-4.0,1606.0,DCA,1208.0,0,468,3,IAH,N17329,4.0,18.0,CO,1997
119.0,97.0,-22.0,2258.0,2320,1958,142.0,0,4,19,1.0,1959.0,JAX,817.0,0,168,4,IAH,N18622,6.0,16.0,CO,2007
250.0,233.0,15.0,1025.0,1010,815,235.0,0,7,2,0.0,815.0,LAS,1521.0,0,880,11,MDW,N432,5.0,12.0,WN,2003
95.0,70.0,2.0,1037.0,1035,900,95.0,0,6,31,2.0,902.0,STL,546.0,0,222,3,DAL,N322SW,4.0,21.0,WN,2007
269.0,233.0,48.0,2222.0,2134,1900,274.0,0,1,4,53.0,1953.0,SFO,1846.0,0,157,8,ORD,N452UA,7.0,29.0,UA,2003
94.0,74.0,2.0,1713.0,1711,1545,86.0,0,1,10,-6.0,1539.0,PHL,336.0,0,1238,12,RDU,N763US,9.0,11.0,US,2007
81.0,55.0,11.0,1127.0,1116,1008,68.0,0,5,28,-2.0,1006.0,PHX,338.0,0,204,8,SNA,N169AW,6.0,20.0,HP,1998
94.0,74.0,13.0,1008.0,955,920,95.0,0,3,20,14.0,934.0,STL,440.0,0,484,5,DTW,N686,5.0,15.0,WN,1998
80.0,64.0,22.0,1547.0,1525,1410,75.0,0,4,12,17.0,1427.0,OMA,423.0,0,332,6,MDW,N686,8.0,8.0,WN,1997
104.0,82.0,5.0,1412.0,1407,1225,102.0,0,2,5,3.0,1228.0,EWR,529.0,0,1123,9,CLT,N829US,5.0,17.0,US,1995
104.0,84.0,3.0,1137.0,1134,955,99.0,0,5,4,-2.0,953.0,CLE,554.0,0,1220,7,ATL,N10251,6.0,14.0,CO,1997
104.0,94.0,14.0,1654.0,1640,1545,115.0,0,4,7,25.0,1610.0,MDW,611.0,0,1377,10,BWI,N358,4.0,6.0,WN,1999
124.0,91.0,17.0,1154.0,1137,850,107.0,0,7,10,0.0,850.0,TPA,656.0,0,878,10,MEM,N343NW,5.0,28.0,NW,1999
90.0,80.0,-10.0,1225.0,1235,1055,100.0,0,4,3,0.0,1055.0,OAK,543.0,0,1662,4,PDX,N693,5.0,5.0,WN,2003
58.0,49.0,-2.0,1933.0,1935,1835,60.0,0,6,4,0.0,1835.0,DAL,293.0,0,392,7,LBB,N504,3.0,6.0,WN,1998
273.0,231.0,0.0,610.0,610,2240,270.0,0,4,12,-3.0,2237.0,JAX,2153.0,0,872,4,LAX,N3763D,19.0,23.0,DL,2007
385.0,363.0,21.0,1141.0,1120,745,395.0,0,6,19,31.0,816.0,SFO,2704.0,0,173,2,BOS,N649UA,6.0,16.0,UA,2005
76.0,48.0,11.0,1255.0,1244,1142,62.0,0,2,24,-3.0,1139.0,LIT,304.0,0,868,11,DFW,N2ATAA,6.0,22.0,AA,1998
389.0,369.0,-2.0,2257.0,2259,1920,399.0,0,7,23,8.0,1928.0,ANC,2846.0,0,131,7,ORD,N615AS,6.0,14.0,AS,2006
142.0,121.0,-6.0,919.0,925,601,144.0,0,6,24,-4.0,557.0,DEN,992.0,0,1592,8,PDX,N461UA,10.0,11.0,UA,2002
75.0,61.0,-5.0,635.0,640,620,80.0,0,4,19,0.0,620.0,SEA,399.0,0,789,6,BOI,N699,5.0,9.0,WN,2003
80.0,68.0,0.0,2045.0,2045,1925,80.0,0,5,28,0.0,1925.0,SNA,371.0,0,690,5,OAK,N510,5.0,7.0,WN,1999
86.0,70.0,-7.0,751.0,758,630,88.0,0,3,25,-5.0,625.0,IAH,321.0,0,9552,5,SJT,N586SW,7.0,9.0,OO,2005
150.0,86.0,37.0,1203.0,1126,935,111.0,0,1,28,-2.0,933.0,DTW,594.0,0,476,6,ATL,N8877Z,6.0,58.0,NW,1999
126.0,108.0,0.0,1417.0,1417,1209,128.0,0,4,31,2.0,1211.0,LAS,762.0,0,602,7,PDX,N958AS,10.0,8.0,AS,2003
47.0,40.0,-8.0,2112.0,2120,2025,55.0,0,1,1,0.0,2025.0,SAT,248.0,0,173,6,DAL,N334,2.0,5.0,WN,1998
70.0,47.0,7.0,735.0,728,610,78.0,0,2,30,15.0,625.0,IAD,288.0,0,7333,12,CLE,N706BR,7.0,16.0,DH,2003
71.0,58.0,-8.0,1113.0,1121,1006,75.0,0,3,9,-4.0,1002.0,PHX,355.0,0,2510,7,LGB,N169AW,7.0,6.0,HP,1997
98.0,73.0,86.0,1714.0,1548,1446,62.0,0,1,20,50.0,1536.0,DFW,282.0,0,3406,3,LBB,N695AE,14.0,11.0,MQ,2006
139.0,115.0,-8.0,1822.0,1830,1500,150.0,0,6,13,3.0,1503.0,MCO,1005.0,0,929,6,ORD,N429UA,6.0,18.0,UA,1998
100.0,79.0,-1.0,1159.0,1200,1020,100.0,0,5,7,-1.0,1019.0,MSP,449.0,0,126,3,STL,N414EA,4.0,17.0,TW,1997
71.0,53.0,16.0,1823.0,1807,1641,86.0,0,4,9,31.0,1712.0,CRP,354.0,0,3367,12,DFW,N630AE,4.0,14.0,MQ,2004
233.0,207.0,-4.0,1912.0,1916,1720,236.0,0,3,25,-1.0,1719.0,SAN,1532.0,0,185,1,MSP,N541US,3.0,23.0,NW,2006
145.0,117.0,-7.0,1333.0,1340,1110,150.0,0,3,20,-2.0,1108.0,DCA,920.0,0,1378,11,MIA,N3CUAA,4.0,24.0,AA,2002
70.0,60.0,33.0,1553.0,1520,1355,85.0,0,6,19,48.0,1443.0,MCI,405.0,0,428,1,MDW,N639@@,3.0,7.0,WN,2002
168.0,149.0,0.0,1758.0,1758,1410,168.0,0,5,15,0.0,1410.0,MSP,1142.0,0,1274,7,BOI,N356NW,7.0,12.0,NW,2005
111.0,97.0,31.0,1526.0,1455,1300,115.0,0,7,5,35.0,1335.0,MDW,666.0,0,123,10,JAN,N722,5.0,9.0,WN,1997
57.0,43.0,-14.0,1957.0,2011,1907,64.0,0,7,27,-7.0,1900.0,STL,229.0,0,3147,4,IND,N4XDAA,5.0,9.0,AA,2003
101.0,90.0,0.0,1600.0,1600,1410,110.0,0,1,16,9.0,1419.0,MDW,570.0,0,2976,6,BHM,N387SW,4.0,7.0,WN,2008
58.0,37.0,-6.0,931.0,937,840,57.0,0,7,20,-7.0,833.0,IAH,140.0,0,1758,4,AUS,N14645,4.0,17.0,CO,2008
286.0,222.0,24.0,1813.0,1749,1030,259.0,0,2,18,-3.0,1027.0,DTW,1979.0,0,330,7,LAX,N508US,51.0,13.0,NW,1995
81.0,64.0,-10.0,1839.0,1849,1725,84.0,0,3,28,-7.0,1718.0,LGB,402.0,0,201,11,RNO,N11194,5.0,12.0,XE,2007
347.0,321.0,-2.0,528.0,530,2045,345.0,0,2,29,-4.0,2041.0,ORD,2846.0,0,456,8,ANC,N513UA,10.0,16.0,UA,2000
110.0,100.0,-10.0,1930.0,1940,1740,120.0,0,1,23,0.0,1740.0,BNA,756.0,0,324,6,AUS,N371,5.0,5.0,WN,2003
231.0,211.0,-20.0,1050.0,1110,855,255.0,0,3,25,4.0,859.0,PDX,1739.0,0,549,7,ORD,N412UA,2.0,18.0,UA,2007
151.0,115.0,10.0,1331.0,1321,1002,139.0,0,3,6,-2.0,1000.0,LGA,887.0,0,3140,2,STL,N4èBãæ,4.0,32.0,AA,2002
85.0,56.0,19.0,2055.0,2036,1910,86.0,0,5,16,20.0,1930.0,LAX,337.0,0,2049,2,SFO,N399UA,8.0,21.0,UA,1996
75.0,45.0,22.0,1140.0,1118,1006,72.0,0,5,20,19.0,1025.0,PSP,261.0,0,2741,10,PHX,N918FJ,5.0,25.0,YV,2006
344.0,308.0,-31.0,2252.0,2323,2010,373.0,0,7,23,-2.0,2008.0,LAX,2454.0,0,1802,9,EWR,N33714,17.0,19.0,CO,2001
127.0,91.0,21.0,1938.0,1917,1725,112.0,0,1,16,6.0,1731.0,DTW,487.0,0,489,9,EWR,N17614,8.0,28.0,CO,1996
59.0,46.0,-2.0,1013.0,1015,915,60.0,0,6,3,-1.0,914.0,ISP,220.0,0,1569,11,BWI,N784SW,3.0,10.0,WN,2007
37.0,23.0,-3.0,1219.0,1222,1145,37.0,0,2,16,-3.0,1142.0,OGG,100.0,0,528,9,HNL,N475HA,4.0,10.0,HA,2008
290.0,254.0,-4.0,1755.0,1759,1610,289.0,0,5,7,-5.0,1605.0,LAX,1946.0,0,125,11,ATL,N829MH,9.0,27.0,DL,2008
161.0,143.0,12.0,1407.0,1355,1100,175.0,0,4,29,26.0,1126.0,BDL,1133.0,0,2436,3,PBI,-N382D,3.0,15.0,DL,2001
313.0,298.0,25.0,1742.0,1717,1450,327.0,0,5,23,39.0,1529.0,SFO,2254.0,0,75,5,PIT,N625AU,8.0,7.0,US,1997
68.0,56.0,-7.0,823.0,830,715,75.0,0,7,28,0.0,715.0,BWI,328.0,0,610,8,PVD,N660SW,2.0,10.0,WN,2005
97.0,66.0,-8.0,2120.0,2128,2048,100.0,0,3,22,-5.0,2043.0,AEX,500.0,0,4577,11,ATL,N935EV,4.0,27.0,EV,2006
77.0,59.0,-4.0,901.0,905,744,81.0,0,6,4,0.0,744.0,BNA,409.0,0,1448,1,ORD,N9072U,5.0,13.0,UA,1997
300.0,454.0,4.0,649.0,645,2255,290.0,0,5,13,-6.0,2249.0,EWR,2401.0,0,14,6,SEA,N611AS,15.0,11.0,AS,2003
189.0,171.0,-3.0,504.0,507,55,192.0,0,2,4,0.0,55.0,SEA,1449.0,0,404,6,ANC,N527UA,5.0,13.0,UA,1996
92.0,78.0,94.0,1449.0,1315,1030,105.0,0,7,11,107.0,1217.0,SLC,630.0,0,280,6,PDX,N2819W,3.0,11.0,DL,1995
144.0,123.0,-1.0,2144.0,2145,1925,140.0,0,1,8,-5.0,1920.0,TPA,894.0,0,927,3,CAK,N958AT,5.0,16.0,FL,2004
178.0,150.0,38.0,2240.0,2202,1805,177.0,0,2,16,37.0,1842.0,FLL,1166.0,0,640,9,MDW,N303TZ,7.0,21.0,TZ,2003
145.0,91.0,46.0,2211.0,2125,1930,115.0,0,3,2,16.0,1946.0,DTW,529.0,0,1453,7,ORF,N778NC,46.0,8.0,NW,1997
86.0,67.0,2.0,1423.0,1421,1243,98.0,0,2,25,14.0,1257.0,MAF,309.0,0,3677,6,DFW,N904MQ,4.0,15.0,MQ,2002
72.0,58.0,104.0,1239.0,1055,940,75.0,0,6,21,107.0,1127.0,MHT,377.0,0,891,2,BWI,N343,3.0,11.0,WN,2004
49.0,38.0,-6.0,1244.0,1250,1155,55.0,0,6,17,0.0,1155.0,FLL,197.0,0,319,3,TPA,N645@@,3.0,8.0,WN,2001
186.0,167.0,23.0,1720.0,1657,1520,157.0,0,2,4,-6.0,1514.0,IAH,845.0,0,2072,9,IND,N13978,6.0,13.0,XE,2007
109.0,89.0,6.0,1154.0,1148,905,103.0,0,4,16,0.0,905.0,DFW,641.0,0,618,4,DEN,N469DA,8.0,12.0,DL,1998
82.0,45.0,376.0,1932.0,1316,1308,68.0,0,2,26,362.0,1910.0,ORD,179.0,0,7327,2,LAN,N75996,12.0,25.0,YV,2008
265.0,234.0,-10.0,1647.0,1657,1025,272.0,0,2,15,-3.0,1022.0,EWR,2133.0,0,1534,2,PHX,N15712,7.0,24.0,CO,2005
116.0,97.0,-5.0,1810.0,1815,1715,120.0,0,7,4,-1.0,1714.0,BNA,616.0,0,3238,11,MCO,N372SW,5.0,14.0,WN,2007
72.0,46.0,11.0,1310.0,1259,1200,59.0,0,3,29,-2.0,1158.0,DTW,120.0,0,1690,11,GRR,N326NB,11.0,15.0,NW,2006
128.0,92.0,6.0,2138.0,2132,1930,122.0,0,1,26,0.0,1930.0,DTW,594.0,0,501,2,ATL,N729RW,5.0,31.0,NW,1996
98.0,69.0,108.0,2034.0,1846,1700,106.0,0,6,18,116.0,1856.0,EWR,487.0,0,348,3,DTW,N337NW,9.0,20.0,NW,2000
93.0,65.0,-14.0,1854.0,1908,1725,103.0,0,3,29,-4.0,1721.0,RDU,416.0,0,445,3,EWR,N19621,3.0,25.0,CO,2006
104.0,82.0,0.0,2234.0,2234,2054,100.0,0,5,9,-4.0,2050.0,HSV,603.0,0,826,9,DFW,N518AA,4.0,18.0,AA,2005
146.0,127.0,-6.0,1155.0,1201,835,146.0,0,6,23,-6.0,829.0,PHX,1009.0,0,576,11,PDX,N830AW,9.0,10.0,HP,2002
109.0,97.0,41.0,2231.0,2150,2000,110.0,0,2,20,42.0,2042.0,SMF,647.0,0,2218,6,PHX,N642WN,4.0,8.0,WN,2006
116.0,93.0,-9.0,714.0,723,520,123.0,0,3,4,-2.0,518.0,ATL,594.0,0,1162,2,DTW,N918DL,9.0,14.0,DL,1998
235.0,211.0,-4.0,1842.0,1846,1255,231.0,0,7,25,-8.0,1247.0,DTW,1671.0,0,230,11,PHX,N810AW,10.0,14.0,US,2007
98.0,82.0,-18.0,1909.0,1927,1635,112.0,0,6,17,-4.0,1631.0,DTW,629.0,0,640,8,MCI,N913RW,3.0,13.0,NW,1996
55.0,39.0,3.0,1424.0,1421,1330,51.0,0,3,20,-1.0,1329.0,CLT,168.0,0,1160,8,CHS,N342US,3.0,13.0,US,1997
117.0,97.0,3.0,1049.0,1046,755,111.0,0,4,6,-3.0,752.0,ATL,669.0,0,1571,7,MKE,N997DL,7.0,13.0,DL,2000
295.0,268.0,-5.0,1045.0,1050,855,295.0,0,3,13,-5.0,850.0,SEA,1964.0,0,1575,8,CVG,N3735D,13.0,14.0,DL,2008
46.0,33.0,25.0,1823.0,1758,1700,58.0,0,4,11,37.0,1737.0,IAH,224.0,0,1794,5,DFW,N33506,5.0,8.0,CO,1995
47.0,35.0,-3.0,1021.0,1024,935,49.0,0,4,18,-1.0,934.0,AUS,189.0,0,2517,2,DAL,N464AA,3.0,9.0,AA,1999
149.0,112.0,-15.0,1624.0,1639,1500,159.0,0,7,13,-5.0,1455.0,ORD,733.0,0,685,6,LGA,N203UA,23.0,14.0,UA,2004
103.0,90.0,11.0,1453.0,1442,1252,110.0,0,5,22,18.0,1310.0,ALB,646.0,0,278,12,CLT,N228US,4.0,9.0,US,1995
77.0,63.0,-12.0,1121.0,1133,1105,88.0,0,6,3,-1.0,1104.0,IND,432.0,0,1190,8,ATL,N959DL,7.0,7.0,DL,2002
58.0,51.0,-10.0,1630.0,1640,1535,65.0,0,6,28,-3.0,1532.0,BDL,283.0,0,715,1,BWI,N367,2.0,5.0,WN,2006
124.0,118.0,-11.0,1309.0,1320,1005,135.0,0,7,4,0.0,1005.0,PVD,907.0,0,333,5,BNA,N652,2.0,4.0,WN,2003
54.0,42.0,-1.0,1814.0,1815,1720,55.0,0,2,5,0.0,1720.0,HRL,276.0,0,39,7,HOU,N527,2.0,10.0,WN,2005
60.0,39.0,-6.0,1130.0,1136,1030,66.0,0,3,12,0.0,1030.0,LGA,214.0,0,1748,4,DCA,N412DA,7.0,14.0,DL,2000
132.0,112.0,15.0,1835.0,1820,1735,105.0,0,1,24,-12.0,1723.0,DEN,589.0,0,1163,5,DSM,N337UA,9.0,11.0,UA,2004
133.0,121.0,-2.0,1308.0,1310,1255,135.0,0,7,20,0.0,1255.0,PHX,872.0,0,639,6,AUS,N352,4.0,8.0,WN,1999
271.0,253.0,-22.0,1823.0,1845,1645,300.0,0,7,2,7.0,1652.0,SFO,2036.0,0,660,5,CVG,N384DA,9.0,9.0,DL,2004
106.0,79.0,-14.0,1402.0,1416,1220,116.0,0,1,27,-4.0,1216.0,TUL,585.0,0,517,10,ORD,N554AA,5.0,22.0,AA,2003
67.0,56.0,-12.0,808.0,820,659,81.0,0,6,25,2.0,701.0,OAK,337.0,0,2526,11,LAX,N933UA,4.0,7.0,UA,2000
52.0,43.0,-8.0,927.0,935,935,60.0,0,1,27,0.0,935.0,MDW,271.0,0,276,9,SDF,N95,4.0,5.0,WN,1999
